starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:51:21 2018	1523461881	75	30	105	30
Wed Apr 11 16:50:56 2018	1523461856	69	36	105	35
Wed Apr 11 16:50:57 2018	1523461857	38	67	105	66
Wed Apr 11 16:51:15 2018	1523461875	22	83	105	82
Wed Apr 11 16:51:10 2018	1523461870	75	30	105	30
Wed Apr 11 16:51:08 2018	1523461868	23	82	105	82
Wed Apr 11 16:50:50 2018	1523461850	79	26	105	25
Wed Apr 11 16:50:50 2018	1523461850	58	47	105	47
Wed Apr 11 16:50:50 2018	1523461850	60	45	105	45
Wed Apr 11 16:51:19 2018	1523461879	27	78	105	78
Wed Apr 11 16:51:20 2018	1523461880	87	18	105	18
Wed Apr 11 16:51:15 2018	1523461875	38	66	105	66
Wed Apr 11 16:51:08 2018	1523461868	22	83	105	82
Wed Apr 11 16:51:20 2018	1523461880	88	17	105	17
Wed Apr 11 16:51:14 2018	1523461874	53	52	105	52
Wed Apr 11 16:51:10 2018	1523461870	83	22	105	21
Wed Apr 11 16:51:09 2018	1523461869	29	76	105	76
Wed Apr 11 16:51:15 2018	1523461875	50	55	105	55
Wed Apr 11 16:51:20 2018	1523461880	88	17	105	17
Wed Apr 11 16:51:12 2018	1523461872	71	34	105	33
Wed Apr 11 16:51:20 2018	1523461880	87	18	105	17
Wed Apr 11 16:50:59 2018	1523461859	36	69	105	69
Wed Apr 11 16:50:50 2018	1523461850	62	43	105	42
Wed Apr 11 16:51:15 2018	1523461875	50	55	105	55
Wed Apr 11 16:51:21 2018	1523461881	77	28	105	28
Wed Apr 11 16:51:08 2018	1523461868	23	82	105	82
Wed Apr 11 16:51:02 2018	1523461862	42	63	105	63
Wed Apr 11 16:51:00 2018	1523461860	44	61	105	61
Wed Apr 11 16:51:00 2018	1523461860	40	65	105	65
Wed Apr 11 16:51:12 2018	1523461872	51	55	105	55
Wed Apr 11 16:51:22 2018	1523461882	53	53	105	52
Wed Apr 11 16:51:22 2018	1523461882	56	49	105	49
Wed Apr 11 16:50:54 2018	1523461854	81	25	105	24
Wed Apr 11 16:51:22 2018	1523461882	53	53	105	53
Wed Apr 11 16:51:10 2018	1523461870	53	52	105	52
Wed Apr 11 16:50:50 2018	1523461850	60	46	105	45
Wed Apr 11 16:51:15 2018	1523461875	55	51	106	49
Wed Apr 11 16:51:14 2018	1523461874	48	58	106	58
Wed Apr 11 16:51:10 2018	1523461870	43	63	106	54
Wed Apr 11 16:51:15 2018	1523461875	45	60	106	60
Wed Apr 11 16:51:15 2018	1523461875	45	60	106	59
Wed Apr 11 16:51:12 2018	1523461872	59	47	106	47
Wed Apr 11 16:51:15 2018	1523461875	45	60	106	60
Wed Apr 11 16:50:56 2018	1523461856	61	44	106	44
Wed Apr 11 16:51:03 2018	1523461863	58	48	106	47
Wed Apr 11 16:51:22 2018	1523461882	53	53	106	53
Wed Apr 11 16:51:15 2018	1523461875	37	69	106	68
Wed Apr 11 16:51:12 2018	1523461872	63	43	106	43
Wed Apr 11 16:51:22 2018	1523461882	53	53	106	53
Wed Apr 11 16:51:22 2018	1523461882	50	56	106	56
Wed Apr 11 16:50:56 2018	1523461856	52	53	106	53
Wed Apr 11 16:51:03 2018	1523461863	83	23	106	16
Wed Apr 11 16:51:20 2018	1523461880	84	21	106	21
Wed Apr 11 16:51:00 2018	1523461860	40	66	106	65
Wed Apr 11 16:50:50 2018	1523461850	63	43	106	42
Wed Apr 11 16:51:15 2018	1523461875	41	65	106	65
Wed Apr 11 16:51:00 2018	1523461860	40	66	106	65
Wed Apr 11 16:51:03 2018	1523461863	83	23	106	23
Wed Apr 11 16:51:09 2018	1523461869	79	27	106	27
Wed Apr 11 16:51:12 2018	1523461872	59	47	106	46
Wed Apr 11 16:51:00 2018	1523461860	45	61	106	61
Wed Apr 11 16:51:22 2018	1523461882	37	69	106	69
Wed Apr 11 16:51:10 2018	1523461870	39	68	106	67
Wed Apr 11 16:51:10 2018	1523461870	43	64	106	63
Wed Apr 11 16:51:12 2018	1523461872	58	49	106	48
Wed Apr 11 16:50:54 2018	1523461854	81	25	106	25
Wed Apr 11 16:51:10 2018	1523461870	43	63	106	63
Wed Apr 11 16:51:03 2018	1523461863	83	23	106	23
Wed Apr 11 16:51:03 2018	1523461863	84	22	106	22
Wed Apr 11 16:51:12 2018	1523461872	59	48	106	48
Wed Apr 11 16:50:56 2018	1523461856	62	44	106	44
Wed Apr 11 16:50:56 2018	1523461856	49	57	106	57
Wed Apr 11 16:51:15 2018	1523461875	46	60	106	60
Wed Apr 11 16:51:03 2018	1523461863	48	58	106	58
Wed Apr 11 16:51:15 2018	1523461875	46	60	106	60
Wed Apr 11 16:51:03 2018	1523461863	83	23	106	23
Wed Apr 11 16:51:12 2018	1523461872	61	45	106	45
Wed Apr 11 16:51:10 2018	1523461870	43	63	106	63
Wed Apr 11 16:51:10 2018	1523461870	43	64	106	63
Wed Apr 11 16:51:21 2018	1523461881	20	86	106	83
Wed Apr 11 16:51:08 2018	1523461868	23	83	106	83
Wed Apr 11 16:51:20 2018	1523461880	18	88	107	88
Wed Apr 11 16:51:03 2018	1523461863	39	68	107	67
Wed Apr 11 16:51:10 2018	1523461870	40	67	107	66
Wed Apr 11 16:51:10 2018	1523461870	40	67	107	67
Wed Apr 11 16:51:10 2018	1523461870	39	67	107	46
Wed Apr 11 16:51:03 2018	1523461863	58	48	107	47
Wed Apr 11 16:50:59 2018	1523461859	73	34	107	33
Wed Apr 11 16:51:21 2018	1523461881	21	86	107	86
Wed Apr 11 16:51:21 2018	1523461881	21	86	107	86
Wed Apr 11 16:51:20 2018	1523461880	18	89	107	88
Wed Apr 11 16:51:00 2018	1523461860	40	67	107	66
Wed Apr 11 16:51:00 2018	1523461860	23	84	107	84
Wed Apr 11 16:50:53 2018	1523461853	49	58	107	45
Wed Apr 11 16:51:10 2018	1523461870	43	64	107	64
Wed Apr 11 16:51:05 2018	1523461865	59	48	107	47
Wed Apr 11 16:51:13 2018	1523461873	46	61	107	61
Wed Apr 11 16:51:03 2018	1523461863	34	73	107	69
Wed Apr 11 16:51:03 2018	1523461863	36	71	107	70
Wed Apr 11 16:51:03 2018	1523461863	37	70	107	70
Wed Apr 11 16:50:50 2018	1523461850	86	21	107	20
Wed Apr 11 16:51:03 2018	1523461863	18	89	107	88
Wed Apr 11 16:51:10 2018	1523461870	40	68	107	67
Wed Apr 11 16:51:05 2018	1523461865	59	48	107	47
Wed Apr 11 16:51:10 2018	1523461870	23	84	107	84
Wed Apr 11 16:51:00 2018	1523461860	39	68	107	68
Wed Apr 11 16:51:10 2018	1523461870	42	65	107	64
Wed Apr 11 16:51:10 2018	1523461870	42	65	107	64
Wed Apr 11 16:50:59 2018	1523461859	30	77	107	77
Wed Apr 11 16:51:03 2018	1523461863	37	71	107	70
Wed Apr 11 16:51:10 2018	1523461870	23	85	107	84
Wed Apr 11 16:51:10 2018	1523461870	23	85	107	84
Wed Apr 11 16:50:59 2018	1523461859	42	66	107	65
Wed Apr 11 16:51:10 2018	1523461870	23	85	108	85
Wed Apr 11 16:51:10 2018	1523461870	39	68	108	67
Wed Apr 11 16:51:10 2018	1523461870	23	85	108	84
Wed Apr 11 16:51:19 2018	1523461879	58	49	108	49
Wed Apr 11 16:50:50 2018	1523461850	88	19	108	19
Wed Apr 11 16:51:10 2018	1523461870	43	65	108	64
Wed Apr 11 16:51:10 2018	1523461870	43	65	108	63
